dataset,scenario,model,residual,fallback_used,formal_result,MAE,RMSE,MAPE,masked_MAE,physics_residual,trust_mean,trust_std
PEMS08,random_missing_50,BaseTCN,fundamental,True,False,0.4323481321334839,0.5707799196243286,1.438191533088684,0.3941558003425598,1.0,,
PEMS08,random_missing_50,FixedPhysics,fundamental,True,False,0.4323905110359192,0.5708540081977844,1.438571572303772,0.3942125141620636,0.9999999403953552,,
PEMS08,random_missing_50,LiteTrustPINN_full,fundamental,True,False,0.43704015016555786,0.5770000219345093,1.447792887687683,0.3988601565361023,0.9999999403953552,0.4801585376262665,0.12450286746025085
PEMS08,sensor_failure_30,BaseTCN,fundamental,True,False,0.7296821475028992,0.9559548497200012,2.856539726257324,0.7264535427093506,1.0,,
PEMS08,sensor_failure_30,FixedPhysics,fundamental,True,False,0.7296386957168579,0.955894410610199,2.856818914413452,0.7264083623886108,1.0000001192092896,,
PEMS08,sensor_failure_30,LiteTrustPINN_full,fundamental,True,False,0.7309398055076599,0.9578178524971008,2.8665356636047363,0.7277393937110901,1.0000001192092896,0.48014476895332336,0.12294361740350723
PEMS04,random_missing_50,BaseTCN,fundamental,True,False,0.4206482768058777,0.5560764074325562,1.712497591972351,0.3809359669685364,0.9999998807907104,,
PEMS04,random_missing_50,FixedPhysics,fundamental,True,False,0.42068469524383545,0.5561196208000183,1.714049220085144,0.38097357749938965,1.0,,
PEMS04,random_missing_50,LiteTrustPINN_full,fundamental,True,False,0.42544829845428467,0.5625868439674377,1.6948665380477905,0.38533058762550354,1.0,0.47963380813598633,0.12346228957176208
PEMS04,sensor_failure_30,BaseTCN,fundamental,True,False,0.7334266304969788,0.9633265137672424,4.230891227722168,0.7279490828514099,1.0,,
PEMS04,sensor_failure_30,FixedPhysics,fundamental,True,False,0.7334395051002502,0.9633401036262512,4.232008457183838,0.7279637455940247,1.0,,
PEMS04,sensor_failure_30,LiteTrustPINN_full,fundamental,True,False,0.7339285612106323,0.9641392827033997,4.215466499328613,0.72841876745224,1.0,0.47863680124282837,0.1200801283121109
METR-LA,random_missing_50,BaseTCN,graph_speed,True,False,0.4061375856399536,0.5428465604782104,1.6085762977600098,0.3761686682701111,0.9583333134651184,,
METR-LA,random_missing_50,FixedPhysics,graph_speed,True,False,0.4061139225959778,0.5428454875946045,1.6084803342819214,0.3761347830295563,0.9583333134651184,,
METR-LA,random_missing_50,LiteTrustPINN_full,graph_speed,True,False,0.41000786423683167,0.5485725998878479,1.6036931276321411,0.37983179092407227,0.9583333134651184,0.4799744188785553,0.12131207436323166
METR-LA,sensor_failure_30,BaseTCN,graph_speed,True,False,0.6858341693878174,0.9028415083885193,3.699747085571289,0.6780838966369629,0.9583332538604736,,
METR-LA,sensor_failure_30,FixedPhysics,graph_speed,True,False,0.6855060458183289,0.9024450182914734,3.7008254528045654,0.6777580380439758,0.958333432674408,,
METR-LA,sensor_failure_30,LiteTrustPINN_full,graph_speed,True,False,0.6835789680480957,0.9006642699241638,3.67445707321167,0.6755792498588562,0.958333432674408,0.47816404700279236,0.11341244727373123
