dataset,scenario,missing_rate,seed,backbone,base_mae,phyguard_mae,gain_pct,gate_mean,delta_abs_mean,failure_score_mean
PEMS08,random_missing_30,30,1,MagiNet,0.1279235503046444,0.1228578069715345,3.9599771277814257,0.6118492377503576,0.0284656498930631,0.0473647937193838
PEMS08,random_missing_30,30,1,SAITS,0.2797959337637952,0.2538989651990088,9.255662945641204,0.6398238714745554,0.0492913273246698,0.0473647937193838
PEMS08,random_missing_50,50,1,MagiNet,0.1334601328615867,0.1294296619941173,3.0199811592046486,0.6162437221841506,0.0173855131007597,0.081206384339003
PEMS08,random_missing_50,50,1,SAITS,0.2966730884544012,0.2830846489716798,4.580273712561554,0.6134347665393618,0.0355371275720035,0.081206384339003
PEMS08,random_missing_70,70,1,MagiNet,0.1572021633931697,0.1468447104958377,6.588619821616288,0.6209795741445698,0.0513939090086801,0.1075867505756651
PEMS08,random_missing_70,70,1,SAITS,0.2886525009981841,0.271389513323707,5.9805432534900325,0.6048992380983635,0.0404040609599933,0.1075867505756651
PEMS08,random_missing_30,30,2,MagiNet,0.1285045113224405,0.1217099561337492,5.287405958567919,0.6259798650786534,0.0310051713377805,0.048298874261023
PEMS08,random_missing_30,30,2,SAITS,0.2795149452692662,0.2475277696825681,11.443815841719577,0.6566270944353351,0.0616424116450124,0.048298874261023
PEMS08,random_missing_50,50,2,MagiNet,0.1313861503961348,0.1286793276822948,2.060203990815491,0.592424579621765,0.0196468990068121,0.0874382925811434
PEMS08,random_missing_50,50,2,SAITS,0.2776631720589813,0.2670837349940206,3.810169345293436,0.6126037170941678,0.0246481603601147,0.0874382925811434
PEMS08,random_missing_70,70,2,MagiNet,0.1583600100515689,0.1530428615423695,3.3576333491440824,0.6136117926344944,0.0291857756514741,0.1110710848900063
PEMS08,random_missing_70,70,2,SAITS,0.2922458880410912,0.281367066293921,3.722489243592225,0.6064669503457958,0.0247945893051511,0.1110710848900063
PEMS08,random_missing_30,30,3,MagiNet,0.1262085171895649,0.1240505890547168,1.7098118121512391,0.5924933347152334,0.0218564803563713,0.0494707717732635
PEMS08,random_missing_30,30,3,SAITS,0.2781101981835163,0.2617235399909144,5.892145739218391,0.6380009784487141,0.0306598693965544,0.0494707717732635
PEMS08,random_missing_50,50,3,MagiNet,0.1350111600288644,0.1318721170325262,2.325024831774729,0.6056478334382485,0.0154359017807706,0.0827375080605539
PEMS08,random_missing_50,50,3,SAITS,0.2780948388944758,0.2714128555759841,2.4027714232507518,0.6038083598499969,0.0171609264857088,0.0827375080605539
PEMS08,random_missing_70,70,3,MagiNet,0.1632642866001732,0.1516508886920032,7.113250637973686,0.6159213905516818,0.0583764827236273,0.1107062799953679
PEMS08,random_missing_70,70,3,SAITS,0.2924495269262816,0.2710390268687234,7.321092389031364,0.6120374957516554,0.0560350485424752,0.1107062799953679
