backbone,scenario,gain_pct_mean,gain_pct_std,gate_mean,delta_abs_mean,failure_score_mean
BRITS,incident_perturbation,10.033238141127365,2.4250697618392527,0.6409817473679366,0.0926916286311904,0.0763506763223258
BRITS,random_missing_50,10.7443980033584,3.3265867786848315,0.6410048742999407,0.0890908411058574,0.0763506763223258
BRITS,sensor_failure_30,4.698216105625581,2.969730414985976,0.8243051342827706,0.1400122045261968,0.7825497873265203
ImputeFormer,incident_perturbation,6.919988869998265,3.118460625911765,0.6217288882751177,0.0665672519255579,0.0763506763223258
ImputeFormer,random_missing_50,8.157664743128192,3.839733073841768,0.6231077890583858,0.0630576276704276,0.0763506763223258
ImputeFormer,sensor_failure_30,6.529460064114576,3.058067932327837,0.7693062096212416,0.1406975840646644,0.7825497873265203
MagiNet,incident_perturbation,5.979033674770149,2.989176813642561,0.6073099245283371,0.0637458195733556,0.0763506763223258
MagiNet,random_missing_50,7.493728015259501,3.4729291392928685,0.624287120465706,0.0647081730460459,0.0763506763223258
MagiNet,sensor_failure_30,2.187164090704216,2.102877671416996,0.6001202913411976,0.0773306929289039,0.7825497873265203
SAITS,incident_perturbation,8.745586997635764,3.140942015643443,0.6312803758451051,0.0809868731295522,0.0763506763223258
SAITS,random_missing_50,9.510271679713076,4.197300745056774,0.6350830724835509,0.0752499985063338,0.0763506763223258
SAITS,sensor_failure_30,3.506146702697064,1.84502483499414,0.8107779085485646,0.1296177643675748,0.7825497873265203
