scenario,base_mae_mean,phyguard_mae_mean,gain_pct_mean,gain_pct_std,gate_mean,delta_abs_mean,failure_score_mean,wins,runs,win_rate_pct
incident_perturbation,0.2844498168086897,0.2610883648493637,7.919461920882886,3.268782694059628,0.6253252340041242,0.075997893314914,0.0763506763223258,60,60,100.0
random_missing_50,0.265963728372685,0.2416505172375623,8.976515610364793,3.842290084992415,0.6308707140768958,0.0730266600821662,0.0763506763223258,60,60,100.0
sensor_failure_30,0.5931499856559765,0.5672950895595023,4.230246740785359,2.960245990751844,0.7511273859484436,0.1219145614718349,0.7825497873265203,58,60,96.66666666666669
