backbone,base_mae_mean,phyguard_mae_mean,gain_pct_mean,gain_pct_std,wins,runs,gate_mean,delta_abs_mean,win_rate_pct
BRITS,0.3862735363173503,0.356274466827201,8.491950750037116,3.95529795342864,45,45,0.7020972519835493,0.1072648914210815,100.0
SAITS,0.3788714919979684,0.3536551648667123,7.254001793348634,4.136444199485072,45,45,0.6923804522924069,0.0952848786678203,100.0
ImputeFormer,0.3985657182532319,0.3707044811059549,7.202371225747012,3.3546399048517603,45,45,0.6713809623182484,0.0901074878868833,100.0
MagiNet,0.3610406278812511,0.3460778493953694,5.219975260244622,3.630740293581825,43,45,0.6105724454450803,0.0685948951827684,95.55555555555556
