variant,epoch,lambda_phys,train_data_loss,train_physics_loss,train_total_loss,train_physics_residual,val_masked_mae,val_physics_loss,val_physics_residual,trust_mean,trust_std,trust_min,trust_max
v0_base,1,0.0,0.7023440301418304,0.5035108998417854,0.7023440301418304,0.9999999850988388,0.4691513478755951,0.5023532807826996,0.9999999701976776,,,,
v0_base,2,0.0,0.36999205127358437,0.5057316645979881,0.36999205127358437,1.0000000223517418,0.3118860721588135,0.5115927755832672,0.9999999701976776,,,,
v0_base,3,0.0,0.29745282605290413,0.5144454538822174,0.29745282605290413,1.0000000074505806,0.269809365272522,0.5141080319881439,0.9999999403953552,,,,
v0_base,4,0.0,0.25836583971977234,0.5108460411429405,0.25836583971977234,1.0,0.24322065711021423,0.5075607895851135,1.0000000298023224,,,,
v0_base,5,0.0,0.2376774102449417,0.5073588192462921,0.2376774102449417,1.0000000223517418,0.22794650495052338,0.5086221992969513,1.0,,,,
v0_base,6,0.0,0.22184414975345135,0.5096788927912712,0.22184414975345135,1.000000037252903,0.2118029147386551,0.5104194581508636,1.0000001192092896,,,,
v0_base,7,0.0,0.20963841676712036,0.5095971152186394,0.20963841676712036,0.9999999776482582,0.20069241523742676,0.5092843472957611,1.0,,,,
v0_base,8,0.0,0.19908852316439152,0.50936508923769,0.19908852316439152,0.9999999776482582,0.18977458775043488,0.5100421011447906,1.0000000298023224,,,,
v0_base,9,0.0,0.18966463580727577,0.510047934949398,0.18966463580727577,1.0000000447034836,0.1799585521221161,0.5101876258850098,1.0000000596046448,,,,
v0_base,10,0.0,0.18000241741538048,0.5098972842097282,0.18000241741538048,1.0000000298023224,0.17000514268875122,0.5101865828037262,1.0000000298023224,,,,
v0_base,11,0.0,0.17049154080450535,0.5100689232349396,0.17049154080450535,0.999999962747097,0.16041000187397003,0.5102628171443939,1.0000000298023224,,,,
v0_base,12,0.0,0.16269644163548946,0.5101569816470146,0.16269644163548946,1.0000000298023224,0.15112918615341187,0.5101818442344666,1.0,,,,
v0_base,13,0.0,0.15568039193749428,0.5101368725299835,0.15568039193749428,1.0000000819563866,0.1437644064426422,0.5102138221263885,1.0000000298023224,,,,
v0_base,14,0.0,0.1503241192549467,0.5101203173398972,0.1503241192549467,1.0000000074505806,0.13854292035102844,0.5103788673877716,1.0,,,,
v0_base,15,0.0,0.14624636620283127,0.5101650878787041,0.14624636620283127,1.000000074505806,0.1343684047460556,0.5100723206996918,0.9999999403953552,,,,
v0_base,16,0.0,0.1430580299347639,0.5101322308182716,0.1430580299347639,0.9999999850988388,0.13136088848114014,0.5102874338626862,0.9999999701976776,,,,
v0_base,17,0.0,0.14076337963342667,0.510167121887207,0.14076337963342667,1.0,0.12982548773288727,0.51023930311203,0.9999999403953552,,,,
v0_base,18,0.0,0.13781969621777534,0.5101033672690392,0.13781969621777534,0.9999999850988388,0.12670543789863586,0.510286808013916,1.0000000596046448,,,,
v0_base,19,0.0,0.13590226881206036,0.5102134048938751,0.13590226881206036,1.0000000298023224,0.12473209202289581,0.5103115141391754,1.0000000596046448,,,,
v0_base,20,0.0,0.13376620970666409,0.5100845173001289,0.13376620970666409,0.9999999850988388,0.1227588877081871,0.51038858294487,0.9999999701976776,,,,
v1_fixed_physics,1,0.0,0.7023440301418304,0.5035108998417854,0.7023440301418304,0.9999999850988388,0.4691513478755951,0.5023532807826996,0.9999999701976776,,,,
v1_fixed_physics,2,0.0,0.36999205127358437,0.5057316645979881,0.36999205127358437,1.0000000223517418,0.3118860721588135,0.5115927755832672,0.9999999701976776,,,,
v1_fixed_physics,3,0.0,0.29745282605290413,0.5144454538822174,0.29745282605290413,1.0000000074505806,0.269809365272522,0.5141080319881439,0.9999999403953552,,,,
v1_fixed_physics,4,0.0,0.25836583971977234,0.5108460411429405,0.25836583971977234,1.0,0.24322065711021423,0.5075607895851135,1.0000000298023224,,,,
v1_fixed_physics,5,0.00045454545454545455,0.23767734318971634,0.5073595568537712,0.23790795914828777,0.9999999925494194,0.22794631123542786,0.508625328540802,1.0000000596046448,,,,
v1_fixed_physics,6,0.0009090909090909091,0.2218488585203886,0.5096796452999115,0.2223122026771307,1.0000000149011612,0.21179886162281036,0.5104128420352936,1.0000000596046448,,,,
v1_fixed_physics,7,0.0013636363636363635,0.20963655412197113,0.509591281414032,0.21033145114779472,1.0000000298023224,0.20069806277751923,0.5092844069004059,1.0000000596046448,,,,
v1_fixed_physics,8,0.0018181818181818182,0.1990972552448511,0.5093690380454063,0.20002338103950024,0.9999999925494194,0.18977801501750946,0.5100439786911011,1.0,,,,
v1_fixed_physics,9,0.002272727272727273,0.18967136181890965,0.5100487768650055,0.19083056412637234,1.0000000223517418,0.17997047305107117,0.5101886987686157,1.0,,,,
v1_fixed_physics,10,0.002727272727272727,0.18001140840351582,0.5098995044827461,0.18140204437077045,0.9999999552965164,0.17000405490398407,0.5101884305477142,1.0000000596046448,,,,
v1_fixed_physics,11,0.003181818181818182,0.17049850523471832,0.5100722312927246,0.1721214633435011,1.000000037252903,0.16042977571487427,0.5102676451206207,0.9999999403953552,,,,
v1_fixed_physics,12,0.0036363636363636364,0.16271036863327026,0.5101642683148384,0.16456550918519497,0.9999999776482582,0.15114825963974,0.5101967453956604,1.0,,,,
v1_fixed_physics,13,0.00409090909090909,0.15569533593952656,0.5101491287350655,0.15778230875730515,1.0000000596046448,0.1438133716583252,0.5102066397666931,1.0000001192092896,,,,
v1_fixed_physics,14,0.004545454545454546,0.15034067817032337,0.51011823117733,0.15265939943492413,0.9999999776482582,0.13855700194835663,0.5103861093521118,1.0000001192092896,,,,
v1_fixed_physics,15,0.005,0.14627930894494057,0.5101781412959099,0.14883020147681236,1.0000000521540642,0.13435283303260803,0.5100787878036499,0.9999999701976776,,,,
v1_fixed_physics,16,0.005,0.14308004826307297,0.5101428031921387,0.14563076198101044,1.0000000149011612,0.13136936724185944,0.5103109776973724,0.9999999701976776,,,,
v1_fixed_physics,17,0.005,0.1407705470919609,0.5101792514324188,0.143321443349123,1.0000000149011612,0.12974470853805542,0.5102315843105316,0.9999999105930328,,,,
v1_fixed_physics,18,0.005,0.13782679848372936,0.5101233795285225,0.14037741534411907,0.9999999776482582,0.12672042846679688,0.5103168189525604,0.9999999701976776,,,,
v1_fixed_physics,19,0.005,0.1359552163630724,0.5102333351969719,0.13850638270378113,0.9999999850988388,0.12473119795322418,0.5103532373905182,1.0000001192092896,,,,
v1_fixed_physics,20,0.005,0.13381122797727585,0.5101192370057106,0.13636182434856892,1.0000000149011612,0.12278339266777039,0.5104215145111084,1.0000000596046448,,,,
v2_trust_physics,1,0.0,0.7029849663376808,0.29382824897766113,0.7030205801129341,1.0000000223517418,0.46839872002601624,0.29152098298072815,1.0000000596046448,0.5786823630332947,0.028052570298314095,0.47808852791786194,0.6341999173164368
v2_trust_physics,2,0.0,0.3711733855307102,0.29139137268066406,0.3711926117539406,1.000000037252903,0.3120037317276001,0.2932845801115036,1.0,0.5706068873405457,0.015877800062298775,0.5093781352043152,0.6159770488739014
v2_trust_physics,3,0.0,0.2981249913573265,0.2930068336427212,0.29813629016280174,1.0000000223517418,0.26992523670196533,0.2905365228652954,1.0000000596046448,0.5632350444793701,0.010517867282032967,0.5329879522323608,0.608619213104248
v2_trust_physics,4,0.0,0.2576662376523018,0.28711601719260216,0.2576744258403778,1.0000000149011612,0.24351589381694794,0.28445644676685333,0.9999999105930328,0.5600160956382751,0.006253311410546303,0.5420858263969421,0.5925574898719788
v2_trust_physics,5,0.00045454545454545455,0.23759065754711628,0.28029339388012886,0.23772434890270233,0.999999962747097,0.22818291187286377,0.2726919800043106,0.9999999701976776,0.5383058190345764,0.00940727163106203,0.5154820680618286,0.5652840733528137
v2_trust_physics,6,0.0009090909090909091,0.2226605135947466,0.2625750470906496,0.22290648892521858,1.0000000074505806,0.21200339496135712,0.24546299874782562,1.0000000298023224,0.4871102273464203,0.020945928990840912,0.4504529535770416,0.5443896055221558
v2_trust_physics,7,0.0013636363636363635,0.20967909321188927,0.2288336120545864,0.2100019585341215,1.0000000894069672,0.20130787789821625,0.20396638661623,0.9999999403953552,0.410397469997406,0.03737325593829155,0.35214465856552124,0.5174577236175537
v2_trust_physics,8,0.0018181818181818182,0.19871075078845024,0.18294805847108364,0.19905931316316128,1.0,0.18961553275585175,0.15193857997655869,0.9999999701976776,0.31162121891975403,0.05249513313174248,0.24060536921024323,0.47853973507881165
v2_trust_physics,9,0.002272727272727273,0.188971895724535,0.13158311415463686,0.1893039271235466,1.0000000149011612,0.18002019822597504,0.10641927644610405,1.0000000596046448,0.22416400909423828,0.06202353909611702,0.150726780295372,0.44231483340263367
v2_trust_physics,10,0.002727272727272727,0.17912162095308304,0.09881436824798584,0.17949103564023972,1.0000000149011612,0.16965360939502716,0.09203442558646202,1.0,0.1996643990278244,0.06986889988183975,0.12230291217565536,0.44822144508361816
v2_trust_physics,11,0.003181818181818182,0.17048713378608227,0.09537340793758631,0.1708929631859064,1.0000000223517418,0.16002406179904938,0.09651271626353264,0.9999999105930328,0.21397262811660767,0.08077049255371094,0.12301243841648102,0.4843226671218872
v2_trust_physics,12,0.0036363636363636364,0.1623330321162939,0.09918508306145668,0.16277513839304447,0.9999999925494194,0.15101388096809387,0.0959998220205307,1.0,0.21779292821884155,0.0919923484325409,0.11203247308731079,0.5102236270904541
v2_trust_physics,13,0.00409090909090909,0.15548739582300186,0.0944711696356535,0.1559640970081091,0.9999999701976776,0.14420855045318604,0.08587479218840599,1.0,0.20190571248531342,0.10311076045036316,0.08550068736076355,0.5289266109466553
v2_trust_physics,14,0.004545454545454546,0.15014258213341236,0.0838681748136878,0.15064687095582485,1.0000000074505806,0.13800488412380219,0.07631107419729233,0.9999999701976776,0.1865210086107254,0.11356937140226364,0.06212413311004639,0.5450993776321411
v2_trust_physics,15,0.005,0.14599168486893177,0.07551928609609604,0.14652150496840477,0.9999999850988388,0.13517586886882782,0.06928367540240288,1.0,0.17683297395706177,0.12544241547584534,0.045664116740226746,0.5676109194755554
v2_trust_physics,16,0.005,0.14335667341947556,0.07108587212860584,0.1438769083470106,0.9999999776482582,0.1320914924144745,0.06803770735859871,1.0000000298023224,0.17965148389339447,0.13995614647865295,0.03509550914168358,0.5967819094657898
v2_trust_physics,17,0.005,0.14025439135730267,0.07064604014158249,0.14076494239270687,1.0000000670552254,0.1291985958814621,0.06841568276286125,1.0,0.18557462096214294,0.15611758828163147,0.026479696854948997,0.6329339146614075
