variant,masked_mae_mean,masked_mae_std,gate_mean,promotion_mean
backbone,0.2988233347571941,0.14677977790889354,,
generic_only,0.2862505052364955,0.14937114334780235,1.0,
full,0.27862907570590845,0.15193882183645052,0.9566377381051182,0.48718132601779685
no_physics_promotion,0.27885288194593544,0.1525356896630117,0.9566532316358565,0.07785038803716299
no_residual_bank,0.2974679526173336,0.14603674448138299,0.9681555191418973,0.3322127183225642
no_conflict_suppression,0.2787676881439677,0.1508363807300753,0.9571801248388252,0.5500325749891575
no_failure_evidence,0.27861196926783,0.1517645178722102,0.9567652015637934,0.5229980786242243
