region_type,n,masked_mae_mean,reliability_gate_mean,promotion_mean,learned_correction_abs_mean,physics_aligned_delta_abs_mean,failure_score_mean
random missing region,60,0.2261174008814816,0.9502863607948754,0.5264362999691742,0.0756671092733997,0.2512601598604511,0.0763506763223258
sensor failure region,60,0.5583318239920164,0.9545102439217926,0.551212595401491,0.118542395800748,0.2269174595851667,0.7825497873265203
incident/disrupted region,60,0.2479101131410537,0.9502608749649412,0.5233235813079431,0.0758660226664574,0.2485696259084132,0.0763506763223258
