scenario,model,MAE,RMSE,MAPE,masked_MAE,normal_region_MAE,missing_region_MAE,incident_region_MAE,physics_residual,trust_mean,trust_std,trust_mean_normal,trust_mean_incident,fallback_used
random_missing_50,V0_BaseTCN,0.17199024558067322,0.2421698272228241,1.238261342048645,0.11915169656276703,0.1191454604268074,0.1191454604268074,,0.9999999403953552,,,,,False
random_missing_50,V1_FixedPhysics,0.17190250754356384,0.24335329234600067,1.3085588216781616,0.11918668448925018,0.11918044090270996,0.11918044090270996,,1.0000000596046448,,,,,False
random_missing_50,V2_TrustPhysics,0.16991260647773743,0.23961567878723145,1.1759182214736938,0.12013992667198181,0.12013326585292816,0.12013326585292816,,0.9999999403953552,0.2687840759754181,0.24055801331996918,0.2687840759754181,,False
random_missing_50,V3_TrustPhysics_Uncertainty,0.16790702939033508,0.23997554183006287,1.0032886266708374,0.11557377874851227,0.11556752771139145,0.11556752771139145,,0.9999999701976776,0.26906725764274597,0.22695885598659515,0.26906725764274597,,False
random_missing_50,V4_ConflictAware_LiteTrust,0.167761892080307,0.23961889743804932,0.9939975142478943,0.11570774018764496,0.11570145934820175,0.11570145934820175,,1.0000000596046448,0.2261989563703537,0.30202701687812805,0.2261989563703537,,False
sensor_failure_30,V0_BaseTCN,0.4853964149951935,0.6601278185844421,2.907909870147705,0.37374553084373474,0.37374553084373474,0.37374553084373474,,0.9999999105930328,,,,,False
sensor_failure_30,V1_FixedPhysics,0.4648895561695099,0.6169079542160034,2.9040026664733887,0.3733798861503601,0.3733798861503601,0.3733798861503601,,1.0000000298023224,,,,,False
sensor_failure_30,V2_TrustPhysics,0.4741569459438324,0.6349881887435913,3.038017749786377,0.37071192264556885,0.37071195244789124,0.37071195244789124,,1.0000000298023224,0.2765263020992279,0.13107477128505707,0.2765263020992279,,False
sensor_failure_30,V3_TrustPhysics_Uncertainty,0.46672722697257996,0.6218643188476562,3.0092315673828125,0.3707863986492157,0.3707863688468933,0.3707863688468933,,1.0000000596046448,0.273685485124588,0.1318073868751526,0.273685485124588,,False
sensor_failure_30,V4_ConflictAware_LiteTrust,0.4692370891571045,0.6268932223320007,3.0092170238494873,0.37079837918281555,0.37079840898513794,0.37079840898513794,,0.9999999403953552,0.2557738721370697,0.31860604882240295,0.2557738721370697,,False
incident_perturbation,V0_BaseTCN,0.22574403882026672,0.44051918387413025,1.209612488746643,0.16712020337581635,0.12338442355394363,0.16711673140525818,1.0058730840682983,1.0,,,,,False
incident_perturbation,V1_FixedPhysics,0.22514885663986206,0.4402672052383423,1.2830628156661987,0.16712699830532074,0.12338770925998688,0.16712355613708496,1.0059469938278198,1.0000001192092896,,,,,False
incident_perturbation,V2_TrustPhysics,0.22270287573337555,0.4372161626815796,1.2068461179733276,0.1679771989583969,0.12446705251932144,0.16797354817390442,1.0023990869522095,1.0000001192092896,0.2707420289516449,0.19579903781414032,0.26895084977149963,0.30477407574653625,False
incident_perturbation,V3_TrustPhysics_Uncertainty,0.22043032944202423,0.433845579624176,1.0136798620224,0.16596704721450806,0.12095123529434204,0.1659637689590454,1.0292682647705078,1.0,0.27255287766456604,0.1890217363834381,0.26983872056007385,0.32412123680114746,False
incident_perturbation,V4_ConflictAware_LiteTrust,0.2202492207288742,0.4337853491306305,1.002895474433899,0.16596800088882446,0.12095789611339569,0.16596472263336182,1.0291597843170166,0.9999999701976776,0.23618239164352417,0.29032185673713684,0.23655636608600616,0.22907687723636627,False
