variant,epoch,lambda_phys,train_total_loss,train_data_loss,train_physics_loss,train_residual_abs,val_data_loss,val_physics_loss,val_residual_abs,train_masked_mae,val_masked_mae
v0_base,1,0.0,0.7023839503526688,0.7023839503526688,0.5034842565655708,0.9999999925494194,0.4689365178346634,0.5023562610149384,1.0,0.7025259137153625,0.46898549795150757
v0_base,2,0.0,0.37020988389849663,0.37020988389849663,0.5058110356330872,0.9999999776482582,0.3112044185400009,0.5116554200649261,0.9999999403953552,0.3703477680683136,0.3112178444862366
v0_base,3,0.0,0.2982929050922394,0.2982929050922394,0.5143619850277901,0.9999999776482582,0.26918286085128784,0.5139885246753693,0.9999999701976776,0.2983661890029907,0.269199013710022
v0_base,4,0.0,0.25815023481845856,0.25815023481845856,0.510739378631115,0.9999999776482582,0.24404113739728928,0.507562667131424,0.9999999701976776,0.25814032554626465,0.24407418072223663
v0_base,5,0.0,0.23849747516214848,0.23849747516214848,0.5073760151863098,0.9999999925494194,0.22835034132003784,0.5086292624473572,0.9999999701976776,0.23851390182971954,0.22836656868457794
v0_base,6,0.0,0.22276177071034908,0.22276177071034908,0.509642980992794,0.9999999701976776,0.2121022343635559,0.5103985965251923,1.0,0.22275905311107635,0.212121844291687
v0_base,7,0.0,0.20950915105640888,0.20950915105640888,0.5096185356378555,0.9999999850988388,0.20118726044893265,0.5092746317386627,0.9999999701976776,0.20950640738010406,0.20120258629322052
v0_base,8,0.0,0.19895367324352264,0.19895367324352264,0.5093176439404488,0.9999999776482582,0.18987411260604858,0.5100941061973572,0.9999999701976776,0.19896887242794037,0.1898880898952484
v0_base,9,0.0,0.18932484835386276,0.18932484835386276,0.5100047513842583,0.9999999925494194,0.18045802414417267,0.5100671350955963,0.9999999701976776,0.18933485448360443,0.18046867847442627
v0_base,10,0.0,0.17982498928904533,0.17982498928904533,0.5098837465047836,0.9999999925494194,0.17007604241371155,0.5102494359016418,1.0,0.17981630563735962,0.17008638381958008
v0_base,11,0.0,0.17089026048779488,0.17089026048779488,0.5101135298609734,0.9999999850988388,0.16054830700159073,0.5102914869785309,1.0,0.1709003895521164,0.16055689752101898
v0_base,12,0.0,0.1623860988765955,0.1623860988765955,0.5100381299853325,0.9999999850988388,0.15169353038072586,0.5103889405727386,0.9999999701976776,0.16239148378372192,0.15170073509216309
v0_base,13,0.0,0.1554306373000145,0.1554306373000145,0.5102278366684914,0.9999999776482582,0.14415232837200165,0.5103331506252289,1.0,0.15543952584266663,0.14415773749351501
v0_base,14,0.0,0.15057644061744213,0.15057644061744213,0.5101216062903404,0.9999999776482582,0.1384039968252182,0.5099949240684509,1.0000001192092896,0.1505786031484604,0.13840943574905396
v0_base,15,0.0,0.14635850675404072,0.14635850675404072,0.5100304558873177,0.9999999776482582,0.1348811239004135,0.5102704167366028,1.0,0.14636246860027313,0.13488459587097168
