epoch,train_loss,val_loss,train_masked_mae,val_masked_mae
1,0.7023839503526688,0.4689365178346634,0.7025259137153625,0.46898549795150757
2,0.37020988389849663,0.3112044185400009,0.3703477680683136,0.3112178444862366
3,0.2982929050922394,0.26918286085128784,0.2983661890029907,0.269199013710022
4,0.25815023481845856,0.24404113739728928,0.25814032554626465,0.24407418072223663
5,0.23849747516214848,0.22835034132003784,0.23851390182971954,0.22836656868457794
6,0.22276177071034908,0.2121022343635559,0.22275905311107635,0.212121844291687
7,0.20950915105640888,0.20118726044893265,0.20950640738010406,0.20120258629322052
8,0.19895367324352264,0.18987411260604858,0.19896887242794037,0.1898880898952484
9,0.18932484835386276,0.18045802414417267,0.18933485448360443,0.18046867847442627
10,0.17982498928904533,0.17007604241371155,0.17981630563735962,0.17008638381958008
