missing_rate,method,n,masked_mae_mean,masked_mae_std,mae_mean,mae_std,gain_vs_backbone_pct_mean
30,Backbone,18,0.3172850000088912,0.11236943956665589,0.09507802646193236,0.033634391456415044,0.0
30,Generic Adapter,18,0.29601823554681617,0.10197507924471655,0.1131190413402186,0.03370353534377846,6.164207818578898
30,Calibration Guard,18,0.30194141964259724,0.10504405032663525,0.10965333009759583,0.0316590681218579,4.498087579340552
30,Failure/Anomaly Guard,18,0.30505819064914946,0.10719554649984121,0.10868415319257307,0.03049266927611701,3.6780195300009595
30,PhyPro,18,0.28148138026201946,0.09741131957024472,0.11655888313220603,0.0367800630359327,10.62210269205151
50,Backbone,18,0.33168298671771246,0.11396671372142057,0.1653705032335387,0.05680239175923614,0.0
50,Generic Adapter,18,0.30968331867010845,0.10349651688637068,0.17933340163694486,0.058422519262203466,6.177287238899917
50,Calibration Guard,18,0.31467820039316613,0.10646130366187798,0.17575926416450074,0.05692933617348821,4.850161696831666
50,Failure/Anomaly Guard,18,0.3159533550522695,0.10778900006862534,0.1752712424430582,0.05530952922764704,4.543559229192761
50,PhyPro,18,0.29881184661875104,0.10020865062943006,0.1808833450906806,0.061111356970477856,9.355359283079302
70,Backbone,18,0.35830571024112273,0.11639251208596872,0.25093890395429397,0.08158874871956844,0.0
70,Generic Adapter,18,0.33721859463911963,0.10853695627094442,0.25710125846995247,0.08286558156451776,5.701059559224472
70,Calibration Guard,18,0.3422244844622153,0.11094526966353065,0.25506514848934275,0.0818726583626883,4.413502102212429
70,Failure/Anomaly Guard,18,0.3427156555080234,0.111341624562666,0.25427042610115475,0.08108653565380262,4.296362445192927
70,PhyPro,18,0.330735841815346,0.10796480082333583,0.25788237113091683,0.08393105031516948,7.649648457564496
