dataset,missing_rate,n,backbone_masked_mae,phypro_masked_mae,phypro_gain_pct
METR-LA,30,6,0.41016250737115406,0.3720568047569734,9.246899578273075
METR-LA,50,6,0.4336295040647799,0.3976060032331314,8.311140587754831
METR-LA,70,6,0.4647169283447458,0.4375894563338167,5.793363778987108
PEMS-BAY,30,6,0.3310551471075975,0.2834935804393708,13.76310940238622
PEMS-BAY,50,6,0.3444790887281441,0.2981054734140383,12.84752174480443
PEMS-BAY,70,6,0.37841532562937163,0.33820758340260043,10.480332111697127
PEMS08,30,6,0.2106373455479221,0.1888937555897143,8.856299095495247
PEMS08,50,6,0.2169403673602134,0.2007240632090833,6.907415516678651
PEMS08,70,6,0.23178487674925066,0.21641048570962093,6.6752494820092645
