dataset,scenario,model,real_data_used,fallback_used,zip_path,MAE,RMSE,MAPE,masked_MAE,physics_residual,trust_mean,trust_std,epochs,pretrain_epochs,first_val_masked_mae,pretrain_end_val_masked_mae,last_val_masked_mae
PEMS08,random_missing_50,LiteTrustGRIN,True,False,E:\ASTGNN-9c2e19b98c4cedf1f35214d8789685b6381b3aad.zip,0.9202545285224915,1.47916579246521,1.4341530799865723,0.9232081770896912,0.4479562044143677,0.16598205268383026,0.0716213807463646,50,30,1.648180365562439,0.8740612864494324,0.7888798117637634
PEMS08,sensor_failure_30,LiteTrustGRIN,True,False,E:\ASTGNN-9c2e19b98c4cedf1f35214d8789685b6381b3aad.zip,1.3941051959991455,1.945709228515625,2.8988614082336426,1.4929519891738892,0.25971582531929016,0.3058296740055084,0.11699293553829193,50,30,1.4249893426895142,1.5339096784591675,1.5668973922729492
