dataset,scenario,variant,real_data_used,fallback_used,epochs,masked_mae_final,masked_mae_data,mae_delta_final_minus_data,physics_residual,trust_mean,trust_std,trust_observed_mean,trust_missing_mean,trust_failed_node_mean,trust_normal_node_mean,graph_delta_failed_mean,graph_delta_missing_mean,delta_phys_mean,delta_phys_missing_mean,final_mae,final_rmse,final_mape,final_masked_mae
PEMS08,random_missing_50,GRINLite,True,False,50,0.8936803341,0.8936803341,0.0000000000,0.4252105355,,,,,,,0.0000000000,0.0000000000,0.0000000000,0.8782239556,1.4337407351,1.3371100426,0.8936803341
PEMS08,random_missing_50,GRINLite_graph_delta,True,False,50,0.8936803341,0.8936803341,0.0000000000,0.4252105355,,,,,,,0.0000000000,0.0000000000,0.0000000000,0.8782239556,1.4337407351,1.3371100426,0.8936803341
PEMS08,random_missing_50,LiteTrust_delta_only,True,False,50,0.7967705131,0.9703454375,-0.1735749245,0.5067877173,0.5793963671,0.1814487725,0.5636544824,0.5953528285,,0.5793963075,,0.0000000000,0.6179234982,0.5561560392,0.7727540731,1.2725578547,1.3679713011,0.7967705131
PEMS08,random_missing_50,CorrectionV1_full,True,False,50,0.7967705131,0.9703454375,-0.1735749245,0.5067877173,0.5793963671,0.1814487725,0.5636544824,0.5953528285,,0.5793963075,,0.0000000000,0.6179234982,0.5561560392,0.7727540731,1.2725578547,1.3679713011,0.7967705131
PEMS08,sensor_failure_30,GRINLite,True,False,50,1.4450316429,1.4450316429,0.0000000000,0.2885594070,,,,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.2694922686,1.8002543449,3.1355299950,1.4450316429
PEMS08,sensor_failure_30,GRINLite_graph_delta,True,False,50,1.2705541849,1.4450316429,-0.1744774580,0.2524994612,,,,,,0.2868642211,0.2868642211,0.0000000000,0.0000000000,1.2171490192,1.7552417517,3.1305196285,1.2705541849
PEMS08,sensor_failure_30,LiteTrust_delta_only,True,False,50,1.4384633303,1.4772067070,-0.0387433767,0.3064039946,0.3654862642,0.2203936577,0.2518962026,0.6305298209,0.6305298209,0.2518962026,0.0000000000,0.0000000000,0.3302413821,0.3546262980,1.2778975964,1.8247420788,3.5136392117,1.4384633303
PEMS08,sensor_failure_30,CorrectionV1_full,True,False,50,1.3085047007,1.4109822512,-0.1024775505,0.3711577058,0.3964905441,0.2810302377,0.2400945872,0.7614143491,0.7614143491,0.2400945872,0.1455146670,0.1455146670,0.3023086190,0.3499335051,1.2043629885,1.7430588007,3.3059298992,1.3085047007
