scenario,Method,mae,gain
incident_perturbation,Backbone,0.2838657393881646,0.0
incident_perturbation,CalibrationGuard,0.25818241761890237,8.754053232072556
incident_perturbation,FailureAnomalyGuard,0.25815160060768616,8.793635909309437
incident_perturbation,GenericAdapter,0.25172714969853865,10.852317738115088
incident_perturbation,PhyGuard,0.2611789406845677,7.670569484835847
incident_perturbation,PhyPro,0.24791011314105377,12.091232597403623
random_missing_50,Backbone,0.2642509678190006,0.0
random_missing_50,CalibrationGuard,0.23746045453480022,9.97278468263903
random_missing_50,FailureAnomalyGuard,0.23721117577156556,10.153482410269906
random_missing_50,GenericAdapter,0.2309339620630887,12.305193770189602
random_missing_50,PhyGuard,0.23975335381947882,9.106387544132128
random_missing_50,PhyPro,0.2261174008814816,14.134149691671313
sensor_failure_30,Backbone,0.5930483454704718,0.0
sensor_failure_30,CalibrationGuard,0.571212807424295,3.514761297306458
sensor_failure_30,FailureAnomalyGuard,0.5697798736860736,3.7872541628385834
sensor_failure_30,GenericAdapter,0.5660874521447593,4.26260694470484
sensor_failure_30,PhyGuard,0.5671110655441259,4.230095228872079
sensor_failure_30,PhyPro,0.5583318239920164,5.507343742091438
