dataset,scenario,seed,backbone,masked_mae_phypro,masked_mae_dora
METR-LA,random_missing_50,2,MagiNet,0.3347752419898447,0.3401297004145247
METR-LA,sensor_failure_30,2,SAITS,0.580211434313046,0.6048880546323715
METR-LA,sensor_failure_30,2,MagiNet,0.6501027179020707,0.677451431110341
METR-LA,incident_perturbation,2,SAITS,0.406250787471021,0.4054751285152706
METR-LA,incident_perturbation,2,MagiNet,0.3552343297204163,0.360024072989114
METR-LA,random_missing_50,3,SAITS,0.3624898093114818,0.4058549815277147
METR-LA,random_missing_50,3,MagiNet,0.3133260417454733,0.3383420395010592
METR-LA,sensor_failure_30,3,SAITS,0.4873553860572077,0.4641516490649151
METR-LA,sensor_failure_30,3,MagiNet,0.7611627886372228,0.7806540048250588
METR-LA,incident_perturbation,3,SAITS,0.393478146514223,0.4027842300745196
METR-LA,incident_perturbation,3,MagiNet,0.3368396148166011,0.3601302634980077
PEMS03,random_missing_50,1,BRITS,0.21914915111427,0.2203724980511738
PEMS03,random_missing_50,1,ImputeFormer,0.1350882846891049,0.1424078033290535
PEMS03,sensor_failure_30,1,BRITS,0.5518227930752287,0.5616738387728777
PEMS03,sensor_failure_30,1,ImputeFormer,0.7927441938643887,0.7876993339752483
PEMS03,incident_perturbation,1,BRITS,0.2407840299431401,0.2448389065939105
PEMS03,incident_perturbation,1,ImputeFormer,0.1671555736426999,0.1684565727026779
PEMS03,random_missing_50,2,BRITS,0.2146229153550685,0.2194285103596538
PEMS03,random_missing_50,2,ImputeFormer,0.1381354181071501,0.1342608966509214
PEMS03,sensor_failure_30,2,BRITS,0.4584921007958528,0.4915742963273948
PEMS03,sensor_failure_30,2,ImputeFormer,0.7226212641160437,0.7381991567641404
PEMS03,incident_perturbation,2,BRITS,0.237240007896882,0.245445674592055
PEMS03,incident_perturbation,2,ImputeFormer,0.1676254363527686,0.162611814686199
PEMS03,random_missing_50,3,BRITS,0.2114468217277849,0.2198508719173994
PEMS03,random_missing_50,3,ImputeFormer,0.1361213141632213,0.1464716227644776
PEMS03,sensor_failure_30,3,BRITS,0.4881077466352706,0.5107042544356016
PEMS03,sensor_failure_30,3,ImputeFormer,0.7491316750784901,0.811606148693049
