Method,mae_mean,mae_std,gain,runs
PhyPro,0.34411977933818394,0.18048882586986265,10.577575343722124,180
GenericAdapter,0.34958285463546224,0.18302963656806506,9.14003948433651,180
FailureAnomalyGuard,0.3550475500217752,0.18408894258790706,7.578124160805975,180
CalibrationGuard,0.3556185598593325,0.18431679603165252,7.413866404006015,180
PhyGuard,0.35601445334939086,0.18191457367704425,7.002350752613351,180
Backbone,0.3803883508925457,0.18806956656604207,0.0,180
