scenario,model,MAE,RMSE,MAPE,masked_MAE,normal_region_MAE,missing_region_MAE,incident_region_MAE,physics_residual
random_missing_50,V0_BaseTCN,0.17199024558067322,0.2421698272228241,1.238261342048645,0.11915169656276703,0.1191454604268074,0.1191454604268074,,0.9999999403953552
sensor_failure_30,V0_BaseTCN,0.4853964149951935,0.6601278185844421,2.907909870147705,0.37374553084373474,0.37374553084373474,0.37374553084373474,,0.9999999105930328
incident_perturbation,V0_BaseTCN,0.22574403882026672,0.44051918387413025,1.209612488746643,0.16712020337581635,0.12338442355394363,0.16711673140525818,1.0058730840682983,1.0
