scenario,model,MAE,RMSE,MAPE,masked_MAE,normal_region_MAE,missing_region_MAE,incident_region_MAE,physics_residual,trust_mean,trust_std,trust_mean_normal,trust_mean_incident
random_missing_50,V4_ConflictAware_LiteTrust,0.167761892080307,0.23961889743804932,0.9939975142478943,0.11570774018764496,0.11570145934820175,0.11570145934820175,,1.0000000596046448,0.2261989563703537,0.30202701687812805,0.2261989563703537,
sensor_failure_30,V4_ConflictAware_LiteTrust,0.4692370891571045,0.6268932223320007,3.0092170238494873,0.37079837918281555,0.37079840898513794,0.37079840898513794,,0.9999999403953552,0.2557738721370697,0.31860604882240295,0.2557738721370697,
incident_perturbation,V4_ConflictAware_LiteTrust,0.2202492207288742,0.4337853491306305,1.002895474433899,0.16596800088882446,0.12095789611339569,0.16596472263336182,1.0291597843170166,0.9999999701976776,0.23618239164352417,0.29032185673713684,0.23655636608600616,0.22907687723636627
