backbone,scenario,phyguard_mae,best_plugin,best_plugin_mae,phyguard_gap_pct
MagiNet,incident_perturbation,0.20939696790253662,GenericAdapter,0.20681665234995544,1.2476343288909884
MagiNet,random_missing_50,0.19252099785691698,GenericAdapter,0.18910856441625076,1.8044838165843406
MagiNet,sensor_failure_30,0.6335608119256724,GenericAdapter,0.6227467151516314,1.7365160683999576
SAITS,incident_perturbation,0.30406184319615126,GenericAdapter,0.29617339588397734,2.663455739712736
SAITS,random_missing_50,0.2879266950515601,GenericAdapter,0.2730279048166272,5.456874543625615
SAITS,sensor_failure_30,0.46744313967980566,PhyGuard,0.4674431396798058,-2.375097483269621e-14
