scenario,backbone,plugin,masked_mae_mean,gain_pct_mean
incident_perturbation,MagiNet,GenericAdapter,0.20681665234995544,7.747414062828852
incident_perturbation,MagiNet,FailureAnomalyGuard,0.20896608540817438,6.923980586373302
incident_perturbation,MagiNet,CalibrationGuard,0.2093149922470298,6.812736865707436
incident_perturbation,MagiNet,PhyGuard,0.20939696790253662,6.59315144861161
incident_perturbation,MagiNet,Backbone,0.2250084111849428,0.0
incident_perturbation,SAITS,GenericAdapter,0.29617339588397734,11.896485450142984
incident_perturbation,SAITS,PhyGuard,0.3040618431961512,9.689581083295256
incident_perturbation,SAITS,FailureAnomalyGuard,0.30456729133798416,9.429633504965837
incident_perturbation,SAITS,CalibrationGuard,0.30500226336468284,9.263762176408479
incident_perturbation,SAITS,Backbone,0.3357734716013284,0.0
random_missing_50,MagiNet,GenericAdapter,0.18910856441625076,9.783190921221646
random_missing_50,MagiNet,CalibrationGuard,0.19238247288513516,8.28180472091182
random_missing_50,MagiNet,FailureAnomalyGuard,0.19249426556444157,8.311857785522708
random_missing_50,MagiNet,PhyGuard,0.19252099785691698,8.014989750299815
random_missing_50,MagiNet,Backbone,0.20978210018107601,0.0
random_missing_50,SAITS,GenericAdapter,0.2730279048166272,14.69650743584197
random_missing_50,SAITS,CalibrationGuard,0.28340402210370474,11.351208472149427
random_missing_50,SAITS,FailureAnomalyGuard,0.28643205360446683,10.257135514001376
random_missing_50,SAITS,PhyGuard,0.2879266950515601,9.748809845282523
random_missing_50,SAITS,Backbone,0.3184638969636714,0.0
sensor_failure_30,MagiNet,GenericAdapter,0.6227467151516314,3.209826130710598
sensor_failure_30,MagiNet,FailureAnomalyGuard,0.6282728817584455,2.4395578189272156
sensor_failure_30,MagiNet,CalibrationGuard,0.6287332158197806,2.3651916393423313
sensor_failure_30,MagiNet,PhyGuard,0.6335608119256724,1.7411958374363707
sensor_failure_30,MagiNet,Backbone,0.6452952778637904,0.0
sensor_failure_30,SAITS,PhyGuard,0.4674431396798058,2.7063111081771933
sensor_failure_30,SAITS,FailureAnomalyGuard,0.46950475612800036,2.2864882496732863
sensor_failure_30,SAITS,CalibrationGuard,0.4731220077909879,1.519529187742325
sensor_failure_30,SAITS,GenericAdapter,0.47748965322219783,0.5058580267521113
sensor_failure_30,SAITS,Backbone,0.48068971964588314,0.0
