backbone,plugin,masked_mae_mean,masked_mae_std,gain_pct_mean,gain_pct_std,gate_mean,delta_abs_mean
MagiNet,GenericAdapter,0.3395573106392792,0.22524892340849784,6.913477038253699,4.154581673548556,1.0,0.061387210096341495
MagiNet,FailureAnomalyGuard,0.34324441091035385,0.22734447423922913,5.891798730274408,3.53720773295155,0.6082298091995031,0.07855097114178852
MagiNet,CalibrationGuard,0.34347689365064854,0.22753609209421052,5.81991107532053,3.6704156226443283,0.6116655274424626,0.07717629472308037
MagiNet,PhyGuard,0.3451595925617087,0.23021840408825037,5.449779012115932,3.9794362914147112,0.6077511066588025,0.06493432655970882
MagiNet,Backbone,0.36002859640993634,0.23030359610836182,0.0,0.0,,
SAITS,GenericAdapter,0.3488969846409341,0.12563798092285533,9.032950304245686,7.3553309492902335,1.0,0.08719597209605065
SAITS,PhyGuard,0.35314389264250573,0.1192418091332178,7.3815673455849895,4.58557133911957,0.6817780796872305,0.09356487257015127
SAITS,FailureAnomalyGuard,0.35350136702348384,0.11983794819410523,7.324419089546834,4.854954413390825,0.6765556748035215,0.09811752042089754
SAITS,CalibrationGuard,0.35384276441979184,0.12177759576491004,7.378166612100077,5.14249980654066,0.6548698350825031,0.0944091876456507
SAITS,Backbone,0.37830902940362765,0.11737693956408235,0.0,0.0,,
